https://www.federalreserve.gov/datadownload/Download.aspx?rel=g17&series=a57018e4a85f30b00dbeee9eabccb630&filetype=csv&label=include&layout=seriescolumn&lastObs=100,,,,,,,,
Series Description,Motor vehicles and parts  (NAICS = 3361-3); n.s.a. IP,Fabricated metal product  (NAICS = 332); n.s.a. IP,Machinery  (NAICS = 333); n.s.a. IP,Computer and electronic product  (NAICS = 334); n.s.a. IP,"Electrical equipment, appliance, and component  (NAICS = 335); n.s.a. IP",Motor vehicles and parts  (NAICS = 3361-3); n.s.a. IP,Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); n.s.a. IP,Miscellaneous  (NAICS = 339); n.s.a. IP
Unit:,Index:_2012_100,Index:_2012_100,Index:_2012_100,Index:_2012_100,Index:_2012_100,Index:_2012_100,Index:_2012_100,Index:_2012_100
Multiplier:,1,1,1,1,1,1,1,1
Currency:,NA,NA,NA,NA,NA,NA,NA,NA
Unique Identifier: ,G17/IP_DURABLE_GOODS_DETAIL/IP.G3361T3.N,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G332.N,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G333.N,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G334.N,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G335.N,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G3361T3.N,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G3364T9.N,G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G339.N
Time Period,IP.G3361T3.N,IP.G332.N,IP.G333.N,IP.G334.N,IP.G335.N,IP.G3361T3.N,IP.G3364T9.N,IP.G339.N
2011-11,92.0443,98.5181,93.1238,93.9221,99.1599,92.0443,96.6661,100.9084
2011-12,85.3298,99.7544,92.7778,100.6666,97.1761,85.3298,97.3637,100.7704
2012-01,96.3907,97.7574,98.2017,92.0922,97.8132,96.3907,96.2219,99.9246
2012-02,104.7476,98.2049,101.4287,93.5887,99.1598,104.7476,97.7275,99.1201
2012-03,106.8861,99.2631,106.115,100.481,101.2099,106.8861,99.0685,98.9973
2012-04,102.176,99.7031,105.2344,95.567,100.5771,102.176,98.1404,99.5742
2012-05,100.6402,100.6944,103.9537,96.2638,101.168,100.6402,98.2612,99.7343
2012-06,106.7644,101.472,107.5545,104.7103,100.3206,106.7644,99.7641,100.18
2012-07,81.0057,100.2542,96.5147,99.2504,97.1511,81.0057,99.9282,99.0597
2012-08,102.8378,101.3125,99.4065,99.8419,99.0867,102.8378,100.619,99.4238
2012-09,100.6306,100.6463,99.1695,106.5575,100.3091,100.6306,101.3399,98.8425
2012-10,107.9448,99.7889,95.4756,101.3334,100.873,107.9448,102.5636,98.6345
2012-11,99.6119,99.8439,94.7897,102.3225,102.3491,99.6119,102.7111,102.0224
2012-12,90.3642,101.0594,92.1559,107.9914,99.9824,90.3642,103.6545,104.4866
2013-01,97.6898,98.8834,94.8065,99.8459,98.1028,97.6898,102.4207,101.3762
2013-02,109.7934,100.4375,98.3967,97.1545,99.5819,109.7934,102.6231,102.6942
2013-03,111.5484,100.8898,101.1521,103.2049,99.9683,111.5484,103.9169,103.547
2013-04,109.7665,101.1945,99.837,99.7196,99.8944,109.7665,104.0213,103.0498
2013-05,107.2089,100.9017,96.6847,101.3435,99.4101,107.2089,102.9457,102.9738
2013-06,114.0973,101.8309,99.0273,105.5101,100.4072,114.0973,103.2207,105.0005
2013-07,83.1755,100.8367,90.1586,101.4832,97.3545,83.1755,100.372,102.1553
2013-08,113.0523,102.4566,94.5881,103.2702,100.0814,113.0523,101.9512,102.8981
2013-09,114.4399,102.4275,94.8863,107.9235,99.8465,114.4399,102.3491,103.2079
2013-10,119.4313,102.7132,93.5394,105.2566,101.7768,119.4313,103.6809,103.3351
2013-11,111.6999,104.2675,92.7598,105.2375,102.2746,111.6999,103.4947,103.4493
2013-12,95.0516,104.3888,88.8258,108.1028,100.7933,95.0516,104.3278,104.5539
2014-01,101.2724,100.7849,94.2361,101.5546,98.7463,101.2724,102.6218,97.9551
2014-02,120.5578,101.8286,98.5859,100.7465,99.5543,120.5578,103.1962,99.51
2014-03,124.5434,103.1853,103.6728,107.3428,102.3452,124.5434,105.9491,100.1294
2014-04,117.0098,103.7924,100.6979,103.9901,100.5553,117.0098,105.2359,99.4766
2014-05,119.1482,104.301,99.7806,106.1504,101.8654,119.1482,106.025,99.784
2014-06,124.5595,106.0041,100.8219,110.5022,102.9982,124.5595,107.7071,100.7649
2014-07,100.9521,103.4883,93.0202,106.0595,99.0269,100.9521,105.8739,97.4638
2014-08,124.0237,103.9698,96.1727,107.5438,102.661,124.0237,106.9065,98.1092
2014-09,121.0365,104.5917,93.9503,112.2659,103.0747,121.0365,108.6047,99.7241
2014-10,126.3272,103.4854,95.266,109.9416,103.742,126.3272,108.8782,100.3249
2014-11,119.4103,103.7776,95.1205,110.1464,104.7493,119.4103,109.5083,103.1252
2014-12,105.9106,104.493,88.6128,112.7991,101.6823,105.9106,110.6051,103.9862
2015-01,112.3384,101.5902,92.0144,106.7823,100.8804,112.3384,107.9794,100.9249
2015-02,123.1744,100.3485,95.2354,104.401,100.8724,123.1744,109.6088,98.8838
2015-03,131.898,101.388,96.1005,108.4445,103.8151,131.898,111.1288,99.967
2015-04,126.0182,101.4304,94.6298,105.2773,102.1978,126.0182,109.1399,98.7509
2015-05,127.8532,101.6253,92.9293,106.6964,101.6325,127.8532,108.4173,98.6514
2015-06,127.3748,102.1546,92.8263,110.5546,101.7224,127.3748,108.0987,103.1479
2015-07,107.5316,100.9819,84.6135,106.7102,97.4424,107.5316,105.064,99.5553
2015-08,130.1073,99.7655,88.2072,107.7302,101.1397,130.1073,105.8524,101.062
2015-09,128.1276,97.6835,85.5917,110.0269,98.3642,128.1276,104.679,98.6641
2015-10,135.5345,97.9254,85.0909,108.9303,103.0062,135.5345,104.1258,100.1197
2015-11,122.2675,97.8623,82.4595,109.2256,102.1884,122.2675,103.6012,101.9441
2015-12,106.2838,99.3131,78.0497,112.0918,101.88,106.2838,104.3206,103.5432
2016-01,118.3951,96.9615,80.8342,106.435,101.129,118.3951,101.1411,100.6326
2016-02,131.2372,95.764,83.12,104.6436,102.0427,131.2372,99.9917,100.1221
2016-03,127.0057,95.7206,83.9779,109.0665,101.1357,127.0057,100.2361,100.6551
2016-04,130.411,96.4476,85.1232,106.6548,100.1762,130.411,98.4871,100.5322
2016-05,120.9902,96.5397,82.8915,108.5451,100.7937,120.9902,98.5555,101.3576
2016-06,131.3173,97.0765,86.3282,110.8111,101.3619,131.3173,98.917,101.7438
2016-07,104.1038,96.4074,80.8127,108.0763,97.5938,104.1038,97.2943,100.6393
2016-08,130.9575,96.1314,81.946,109.9165,100.2595,130.9575,98.3502,99.8587
2016-09,129.733,96.3228,80.8748,113.4519,100.4305,129.733,99.1929,101.0664
2016-10,137.1715,96.8463,81.5568,114.2226,102.464,137.1715,99.8609,100.4378
2016-11,123.0404,96.2396,79.8695,115.3249,103.0898,123.0404,100.4711,99.8714
2016-12,112.8224,97.5664,78.6879,117.404,100.9816,112.8224,101.5548,101.5195
2017-01,119.2764,95.9683,82.8687,111.17,102.3669,119.2764,100.0982,99.2613
2017-02,133.5204,96.3591,85.2865,109.7249,101.7963,133.5204,99.636,99.4964
2017-03,132.286,96.6366,88.5192,114.3302,102.022,132.286,101.1329,100.1684
2017-04,128.299,94.9653,90.5636,113.1878,101.3278,128.299,98.7096,99.6786
2017-05,126.4654,98.2023,91.3245,113.9529,101.7146,126.4654,100.0556,98.3925
2017-06,130.4808,98.5418,93.4869,116.4077,102.003,130.4808,101.2853,100.1524
2017-07,99.0071,97.9026,85.2257,113.3099,99.6308,99.0071,98.8373,98.8446
2017-08,127.1179,98.365,86.5229,114.7477,100.7068,127.1179,99.6196,100.0291
2017-09,127.2081,98.518,88.5859,117.1522,102.7024,127.2081,99.8969,98.6927
2017-10,135.6415,99.3577,89.322,118.1397,103.6429,135.6415,99.5954,99.6169
2017-11,124.9955,99.4932,87.8698,119.25,103.0084,124.9955,99.9755,99.1682
2017-12,112.5425,100.7979,85.1096,121.3818,100.1744,112.5425,100.2494,100.0217
2018-01,119.9599,98.3513,87.7277,116.5168,101.1296,119.9599,98.1679,95.8058
2018-02,138.1658,100.0808,91.4715,114.6933,102.1657,138.1658,97.6793,97.7506
2018-03,141.0707,100.819,92.7616,119.3142,101.7763,141.0707,99.1198,98.5508
2018-04,137.4048,101.7995,96.099,118.087,103.1069,137.4048,99.731,98.8862
2018-05,122.0405,101.7585,93.293,118.4489,102.536,122.0405,98.605,100.0438
2018-06,135.3697,103.7271,96.0277,122.3294,104.2563,135.3697,100.6644,99.9792
2018-07,104.6058,102.6391,89.1604,120.7184,102.3798,104.6058,98.5507,98.3429
2018-08,135.3084,103.6441,93.9775,122.0388,104.7725,135.3084,100.3483,99.5452
2018-09,136.8369,103.2713,93.9343,124.4378,105.1487,136.8369,100.9096,98.696
2018-10,140.8309,103.8881,94.9275,123.4768,106.1452,140.8309,101.5111,101.0577
2018-11,128.6259,104.0856,93.5077,123.3099,106.0647,128.6259,101.7514,100.9176
2018-12,118.7054,105.5867,88.3858,127.2419,105.1096,118.7054,104.1053,102.9032
2019-01,119.71,103.6579,91.6394,122.2341,101.9394,119.71,102.4988,99.6125
2019-02,136.4371,103.2616,94.1411,120.9138,102.4164,136.4371,102.1564,100.7605
2019-03,137.872,103.6387,96.546,125.4211,103.1347,137.872,104.5694,101.4704
2019-04,128.3174,103.7795,94.8626,123.6903,101.8735,128.3174,102.1267,102.1023
2019-05,127.8752,103.1318,95.2397,124.3894,103.8558,127.8752,99.7534,102.3596
2019-06,137.7677,104.5552,97.5151,128.6482,104.8018,137.7677,100.8671,102.6567
2019-07,109.014,102.7728,87.5817,125.3672,102.6348,109.014,99.6061,101.3392
2019-08,135.7213,104.1859,92.4104,126.9631,104.7385,135.7213,100.686,102.5293
2019-09,126.9665,103.3273,90.2877,131.3059,103.7118,126.9665,101.2541,101.5597
2019-10,124.9052,102.9907,90.7708,129.6561,102.9356,124.9052,101.8241,100.8187
2019-11,129.4103,102.8968,88.7886,131.9368,104.1849,129.4103,103.1173,102.1771
2019-12,109.6696,103.7438,86.2699,135.4527,102.8065,109.6696,105.1027,102.8594
2020-01,118.851,101.4897,87.3189,129.7326,102.2289,118.851,93.9433,99.6965
2020-02,138.6418,102.6281,90.8931,130.7057,103.5107,138.6418,91.605,99.3341
